,schoolname,schoolcode,sssdistrict,ssslong,ssslat
1755,"TSITO SENIOR HIGH. TECH. SCHOOL, TSITO",70110,Ho Municipal,0.52614224,6.717607021
1756,"BONWIRE SENIOR HIGH./TECH. SCHOOL, BONWIRE",51605,Ejisu/Juaben (Ejisu),-1.388735175,6.70792675
1757,"ASSIN NSUTA AGRIC. SENIOR HIGH SCHOOL, ASSIN NSUTA",31206,Assin North (Assin Fosu),-1.374616981,5.77799511
1758,"ST JEROME SENIOR HIGH. SCHOOL, ABOFOUR",50804,Offinso,-1.890868545,7.34876442
1759,ISLAMIC GIRLS SENIOR HIGH SCHOOL,20204,Suhum/Kraboa/Coaltar,-0.474989742,5.944515228
1760,"SERWAA KESSE GIRLS SENIOR HIGH, DUAYAW NKWANTA",60203,Tano North,-2.179065228,7.177093506
1761,"TANYIGBE SENIOR HIGH. SCHOOL, TANYIGBE",70112,Ho Municipal,0.52614224,6.717607021
1762,"SABOBA E.P SENIOR HIGH SCHOOL, SABOBA",80902,Saboba/Chereponi (Saboba),0.166294068,9.916285515
1763,"LIKPE SENIOR HIGH SCHOOL, LIKPE-MATE",71001,Hohoe,0.466238558,7.030594826
1764,"OWERRIMAN SENIOR HIGH. SCHOOL, DOMEABRA",51004,Asante Akim North (Konongo),-1.017963052,6.834003925
1765,"ASUOM SENIOR HIGH SCHOOL, ASUOM",21101,Kwaebibirem (Kade),-0.799037278,6.133318901
1766,"BONZO-KAKU SENIOR HIGH. SCHOOL, AWIEBO",40304,Nzema East (Axim),-2.311802149,5.141225815
1767,"DADIESO SENIOR HIGH SCHOOL, DADIESO",41002,Aowin Suaman (Enchi),-2.78972435,5.78654623
1768,"DONKORKROM AGRIC. SENIOR HIGH SCHOOL, DONKORKROM",20901,Kwahu North (Donkorkrom),-0.264697343,6.911973476
1769,"PRESBY SENIOR HIGH/COMM SCHOOL, TECHIMANTIA",60202,Tano (Bechem),-2.021415234,7.183659077
1770,"GYAAMA PENSAN SENIOR HIGH./TECH., ABOASO-ASHANTI",50706,Kwabre (Mamponteng),-1.541420102,6.806778431
1771,"OGUAA SENIOR HIGH/TECHNICAL SCHOOL, CAPE COAST",30108,Cape Coast Municipal,-1.306593895,5.153656006
1772,"KONGO SENIOR HIGH SCH, KONGO",90404,Bolgatanga,-0.880232632,10.74245644
1773,"KPASSA SENIOR HIGH./TECH. SCHOOL, KPASSA",70303,Nkwanta,0.402096868,8.323553085
1774,"SOME SENIOR HIGH. SCHOOL, AGBOZUME",70702,Keta,0.853055775,5.907464027
1775,"DONKORKROM AGRIC. SENIOR HIGH SCHOOL, DONKORKROM",20901,Kwahu North (Donkorkrom),-0.264697343,6.911973476
1776,"BEPOSO SENIOR HIGH SCHOOL, BEPOSO",51702,Bosomtwe/Atwima/Kwanwoma (Kuntanase),-1.562751651,6.559322834
1777,"JIM BORTIM MEM. AGRIC. SENIOR HIGH. SCHOOL, LOGBA ADZOKOE",71010,Hohoe,0.466238558,7.030594826
1778,"CAPE COAST TECH. INST., CAPE COAST",9030101,Cape Coast Municipal,-1.306593895,5.153656006
1779,"TAKORADI TECH. INST., TAKORADI",9040101,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418
1780,"AKROFUOM SENIOR HIGH/TECHNICAL SCHOOL, AKROFUOM",51205,Adansi West (Obuasi),-1.65927422,5.986411572
1781,"AMANTEN SENIOR HIGH SCHOOL, AMANTEN",60404,Atebubu,-1.065201521,7.675590515
1782,"ABOR SENIOR HIGH SCHOOL, ABOR",70503,Keta,0.853055775,5.907464027
1783,"NKROFUL AGRIC. SENIOR HIGH. SCHOOL, NKROFUL",40302,Nzema East (Axim),-2.311802149,5.141225815
1784,"AFADJATO SENIOR HIGH./TECH. SCHOOL, GBLEDI-GBOGAME",71007,Hohoe,0.466238558,7.030594826
1785,"ATIAVI SENIOR HIGH./TECH SCHOOL, ATIAVI",70506,Keta,0.853055775,5.907464027
1786,"TOLON SENIOR HIGH SCH, TOLON",81201,West Mamprusi (Walewale),-1.117310524,10.33463287
1787,"PEKI SENIOR HIGH./TECH. SCHOOL, PEKI",70607,Kpando,0.267385125,6.89685154
1788,"PRESBY SENIOR HIGH. SCH., BEGORO",21201,Fanteakwa (Begoro),-0.356094092,6.436070919
1789,"TAVIEFE COMM. SENIOR HIGH. SCHOOL, TAVIEFE",70107,Ho Municipal,0.52614224,6.717607021
1790,"EGUAFO-ABREM SENIOR SENIOR HIGH. SCH., AGONA ABIREM",30202,Edina/Komenda/Eguafo,-1.437419772,5.140793324
1791,"KOFORIDUA TECH. INST., KOFORIDUA",9020101,New Juaben (Koforidua),-0.297512323,6.112612724
1792,"APEGUSO SENIOR HIGH. SCHOOL, APEGUSO",20805,Asuogyaman (Senchi Ferry),0.08832825,6.189229488
1793,"S.D.A. SENIOR HIGH SCHOOL, AKIM SEKYERE",21601,Atiwa (Kwabeng),-0.675171912,6.32678175
1794,"KROBEA ASANTE TECH./VOC. SCHOOL, ASOKORE",9051801,Sekyere East (Effiduase),-0.844235957,7.210828781
1795,"ST. KIZITO SENIOR HIGH./TECH SCHOOL, MEPE",70804,North Tongu (Adidome),0.407175899,6.13318634
1796,"OSUDOKU SENIOR HIGH/TECHNICAL SCH., ASUTSUARE",10402,Dangme West (Dodowa),0.512386501,5.786250591
1797,"DABALA SENIOR HIGH./TECH. SCHOOL, DABALA",70902,South Tongu (Sogakope),0.645589471,5.960537434
1798,"BADU SENIOR HIGH./TECH SCHOOL, BADU-WENCHI",60602,Kintampo,-1.544426322,8.371118546
1799,"KETE-KRACHI SENIOR HIGH./TECH SCHOOL, KETE-KRACHI",70202,Kete Krachie,-0.089903578,8.053443909
1800,"ANLO-AFIADENYIGBA SENIOR HIGH. SCHOOL, ANLO-AFIADENYIGBA",70507,Keta,0.853055775,5.907464027
1801,"THREE TOWN SENIOR HIGH. SCHOOL, DENU",70704,Keta,0.853055775,5.907464027
1802,"ACHINAKROM SENIOR HIGH. SCHOOL, ACHINAKROM",51606,Ejisu/Juaben (Ejisu),-1.388735175,6.70792675
1803,"E.P.C. MAWUKO GIRLS SENIOR HIGH. SCHOOL, HO",70106,Ho Municipal,0.52614224,6.717607021
1804,"TSIAME SENIOR HIGH SCHOOL, TSIAME",70509,South Tongu (Sogakope),0.645589471,5.960537434
1805,"OSINO PRESBY SENIOR HIGH/TECHNICAL SCH, OSINO",21202,Fanteakwa (Begoro),-0.356094092,6.436070919
1806,"OTI SENIOR HIGH./TECH. SCHOOL, DAMBAI",70203,Kete Krachie,-0.089903578,8.053443909
1807,"YAMFO ANGLICAN SENIOR HIGH. SCHOOL, YAMFO",60204,Tano North,-2.179065228,7.177093506
1808,"ALAVANYO SENIOR HIGH./TECH. SCHOOL, ALAVANYO",71008,Hohoe,0.466238558,7.030594826
1809,"OSUDOKU SENIOR HIGH/TECHNICAL SCH., ASUTSUARE",10402,Dangme West (Dodowa),0.512386501,5.786250591
1810,"SOME SENIOR HIGH. SCHOOL, AGBOZUME",70702,Keta,0.853055775,5.907464027
1811,"SOME SENIOR HIGH. SCHOOL, AGBOZUME",70702,Keta,0.853055775,5.907464027
1812,"AKOKOASO SENIOR HIGH./TECH SCHOOL, AKIM AKOKOASO",20701,Birim North ( New Abirem),-1.021674633,6.22278738
1813,"NKONYA SENIOR HIGH SCHOOL, NKONYA-AHENKRO",71103,Akatsi,0.842700481,6.206889153
1814,"KPANDAI SENIOR HIGH SCHOOL, KPANDAI",80302,East Gonja (Salaga),-0.5339396,8.729157448
1815,"BOLGATANGA TECH. INST., BOLGATANGA",9090401,Bolgatanga,-0.880232632,10.74245644
1816,"BAWKU TECH. INST., BAWKU",9090101,Bawku East (Bawku),-0.18813774,11.03635216
1817,"OFOASE SENIOR HIGH/TECHNICAL SCHOOL, OFOASE",51103,Asante Akim South (Juaso),-1.088292599,6.532979965
1818,"AWE SENIOR HIGH/TECHNICAL SCH, AWE-NAVRONGO",90504,Kassena/Nankani (Navrongo),-1.217440963,10.90942287
1819,"OUR LADY OF PROVIDENCE SENIOR HIGH SCH, KWASI BUOKROM",60505,Jaman (Drobo),-2.75930357,7.683095932
1820,"NEW NSUTAM SENIOR HIGH./TECH. SCH, NSUTAM",21203,Fanteakwa (Begoro),-0.356094092,6.436070919
1821,"DONKORKROM AGRIC. SENIOR HIGH SCHOOL, DONKORKROM",20901,Kwahu North (Donkorkrom),-0.264697343,6.911973476
1822,BAREKESE SENIOR HIGH SCHOOL,50206,Atwima / Nwabiagya (Nkawie),-1.808757067,6.681337357
1823,"ASESEWA SENIOR HIGH SCH., ASESEWA",21503,Manya Krobo (Odumase-Krobo),-0.127511591,6.414916515
1824,"AWE SENIOR HIGH/TECHNICAL SCH, AWE-NAVRONGO",90504,Kassena/Nankani (Navrongo),-1.217440963,10.90942287
1825,"NEW ABIREM/AFOSU SENIOR HIGH. SCH., NEW ABIREM",20702,Birim North ( New Abirem),-1.021674633,6.22278738
1826,"NKROFUL AGRIC. SENIOR HIGH. SCHOOL, NKROFUL",40302,Nzema East (Axim),-2.311802149,5.141225815
1827,"ESIAMA SENIOR HIGH./TECH. SCHOOL, ESIAMA",40303,Nzema East (Axim),-2.311802149,5.141225815
1828,"BADU SENIOR HIGH./TECH SCHOOL, BADU-WENCHI",60602,Kintampo,-1.544426322,8.371118546
1829,"HWIDIEM SENIOR HIGH SCHOOL, HWIDIEM",61203,Asutifi (Kenyasi),-2.515068054,7.028093815
1830,"WULUGU SENIOR HIGH SCH, WULUGU",80602,West Mamprusi (Walewale),-1.117310524,10.33463287
1831,"MABANG SENIOR HIGH TECH. SCHOOL, MABANG",51402,Ahafo Ano North (Tepa),-2.207579613,6.900829792
1832,"ST. JOSEPH'S TECH. INST., KWAHU-TAFO",9021001,Kwahu South (Mpraeso),-0.635528684,6.619226456
1833,"TAKORADI TECH. INST., TAKORADI",9040101,Shama/Ahanta/East (Sekondi/Takoradi),-1.623654723,5.081101418
1834,"ASSIN NSUTA AGRIC. SENIOR HIGH SCHOOL, ASSIN NSUTA",31206,Assin North (Assin Fosu),-1.374616981,5.77799511
1835,"ST JEROME SENIOR HIGH. SCHOOL, ABOFOUR",50804,Offinso,-1.890868545,7.34876442
1836,"AVEYIME-BATTOR SENIOR HIGH./TECH. SCHOOL, AVEYIME-BATTOR",70803,North Tongu (Adidome),0.407175899,6.13318634
1837,"WULENSI SENIOR HIGH SCHOOL, WULENSI",80402,Nanumba North (Bimbilla),-0.141764164,8.816774368
1838,"NKORANZA SENIOR HIGH./TECH. SCHOOL, NKORANZA",60901,Nkoranza,-1.515973568,7.664369106
1839,"OKADJAKROM SENIOR HIGH./TECH SCHOOL, OKADJAKROM",71104,Akatsi,0.842700481,6.206889153
1840,"DZODZE PENYI SENIOR HIGH. SCHOOL, DZODZE",70703,Ketu (Denu),1.032708645,6.111227512
1841,"ADUKROM SENIOR HIGH./TECH SCHOOL, ADUKROM",20407,Akwapim North (Akropong),-0.166071147,5.976426125
1842,"KRACHI SENIOR HIGH SCHOOL, KETE-KRACHI",70201,Kete Krachie,-0.089903578,8.053443909
1843,"WAMANAFO COMM. DAY SENIOR HIGH SCHOOL, WAMANAFO",61002,Dormaa (Dormaa Ahenkro),-2.753840446,7.222848892
1844,"ST. JOSEPH SENIOR HIGH./TECH. SCHOOL, AHWIREN",50304,Amansie East (Bekwai),-1.37072885,6.383360863
1845,"ANNOR ADJAYE SENIOR HIGH. SCHOOL, EZILIBO",40402,Jomoro (Half Assini),-2.803220272,5.069507599
1846,"VAKPO SENIOR HIGH SCHOOL, VAKPO",70605,Kpando,0.267385125,6.89685154
1847,"E.P.C. MAWUKO GIRLS SENIOR HIGH. SCHOOL, HO",70106,Ho Municipal,0.52614224,6.717607021
1848,"BOLGATANGA TECH. INST., BOLGATANGA",9090401,Bolgatanga,-0.880232632,10.74245644
1849,"EJURAMAN ANGLICAN SENIOR HIGH. SCHOOL, EJURA",50901,Ejura/Sekyedumase (Ejura),-1.367965341,7.462873936
1850,"ASAWINSO SENIOR HIGH SCHOOL, ASAWINSO",40603,Sefwi Wiawso,-2.637861013,6.25838995
1851,"KLIKOR SNR SENIOR HIGH./TECH SCHOOL, KLIKOR",70705,Ketu (Denu),1.032708645,6.111227512
1852,"OKADJAKROM SENIOR HIGH./TECH SCHOOL, OKADJAKROM",71104,Akatsi,0.842700481,6.206889153
1853,"ADANWOMASE SENIOR HIGH SCHOOL, ADANWOMASE",50703,Kwabre (Mamponteng),-1.541420102,6.806778431
1854,"VAKPO SENIOR HIGH./TECH. SCHOOL, VAKPO",70606,Kpando,0.267385125,6.89685154
1855,"BENSO SENIOR HIGH./TECH SCHOOL, BENSO",40906,Mpohor-Wassa East (Daboase),-1.69756937,5.330795765
1856,"HAVE TECH. INST., HAVE",9071001,Hohoe,0.466238558,7.030594826
1857,"CHEREPONI SENIOR HIGH/TECHNICAL SCH, CHEREPONI",80901,Saboba/Chereponi (Saboba),0.166294068,9.916285515
1858,"ST. THOMAS SENIOR HIGH./TECH SCHOOL, ASAMANKESE",20502,West Akim (Asamankese),-0.609122574,5.833612442
1859,"AKWATIA TECH. INST., AKWATIA",9021101,Kwaebibirem (Kade),-0.799037278,6.133318901
1860,"PRESBY SENIOR HIGH/TECHNICAL SCH, LARTEH-KUBEASE",20405,Akwapim North (Akropong),-0.166071147,5.976426125
1861,"ST.STEPHEN'S PRESBY SENIOR HIGH./TECH SCH, ASIAKWA",21304,East Akim (Kibi),-0.454344213,6.178557873
1862,"EJURAMAN ANGLICAN SENIOR HIGH. SCHOOL, EJURA",50901,Ejura/Sekyedumase (Ejura),-1.367965341,7.462873936
1863,"BEPOSO SENIOR HIGH SCHOOL, BEPOSO",51702,Bosomtwe/Atwima/Kwanwoma (Kuntanase),-1.562751651,6.559322834
1864,"MABANG SENIOR HIGH TECH. SCHOOL, MABANG",51402,Ahafo Ano North (Tepa),-2.207579613,6.900829792
1865,"KLIKOR SNR SENIOR HIGH./TECH SCHOOL, KLIKOR",70705,Ketu (Denu),1.032708645,6.111227512
1866,ADVENTIST GILRS SENIOR HIGH. SCH. NTONSO,50707,Kwabre (Mamponteng),-1.541420102,6.806778431
1867,KWAHU TAFO SENIOR HIGH SCH,21010,Kwahu South (Mpraeso),-0.635528684,6.619226456
1868,"ASARE BEDIAKO SENIOR HIGH. SCHOOL, AKROKERRI",51206,Adansi West (Obuasi),-1.65927422,5.986411572
1869,"AVE-DAKPA SENIOR HIGH SCHOOL, AVE-DAKPA",70402,Akatsi,0.842700481,6.206889153
1870,"CHRIST THE KING CATHOLIC SCH., OBUASI",51204,Adansi West (Obuasi),-1.65927422,5.986411572
1871,"SANDEMA SENIOR HIGH/TECHNICAL SCH, BILINSA-SANDEMA",90301,Builsa (Sandema),-1.337494493,10.55707264
1872,"ST JEROME SENIOR HIGH. SCHOOL, ABOFOUR",50804,Offinso,-1.890868545,7.34876442
1873,"MPOHOR SNR SENIOR HIGH. SCHOOL, MPOHOR",41102,Mpohor-Wassa East (Daboase),-1.69756937,5.330795765
1874,"MIM SENIOR HIGH SCHOOL, MIM",61301,Asunafo (Goaso),-2.683745623,6.80908823
1875,"BENSO SENIOR HIGH./TECH SCHOOL, BENSO",40906,Mpohor-Wassa East (Daboase),-1.69756937,5.330795765
1876,"NKORANZA SENIOR HIGH./TECH. SCHOOL, NKORANZA",60901,Nkoranza,-1.515973568,7.664369106
1877,"BAWKU TECH. INST., BAWKU",9090101,Bawku East (Bawku),-0.18813774,11.03635216
1878,"PRESBY SENIOR HIGH. SCH., SUHUM",20202,Suhum/Kraboa/Coaltar,-0.474989742,5.944515228
1879,"ASANKRAGWA SENIOR HIGH./TECH SCHOOL, ASANKRAGWA",40503,Wassa Amenfi (Asankragwa),-2.302017927,5.72551775
1880,"DABALA SENIOR HIGH./TECH. SCHOOL, DABALA",70902,South Tongu (Sogakope),0.645589471,5.960537434
1881,"NSUTAMAN CATHOLIC SENIOR HIGH. SCHOOL, NSUTAMAN",50501,Sekyere West (Mampong),-1.180076838,7.199564934
1882,"KPANDO TECH. INST., KPANDO",9070601,Kpando,0.267385125,6.89685154
1883,"DODI-PAPASE COMM. SENIOR HIGH. SCHOOL, DODI-PAPASE",71202,Kadjebi,0.496497512,7.721589088
1884,"SEFWI-WIAWSO SENIOR HIGH./TECH SCHOOL, SEFWI-WIAWSO",40602,Sefwi Wiawso,-2.637861013,6.25838995
1885,"YENDI SENIOR HIGH SCHOOL, YENDI",80801,East Dagomba (Yendi),-0.200845063,9.35213089
1886,"NANA BRENTU SENIOR HIGH./TECH SCHOOL, ENCHI",41001,Aowin Suaman (Enchi),-2.78972435,5.78654623
1887,"APEGUSO SENIOR HIGH. SCHOOL, APEGUSO",20805,Asuogyaman (Senchi Ferry),0.08832825,6.189229488
1888,"KWABENG ANG. SENIOR HIGH/TECHNICAL SCH, KWABENG",21307,East Akim (Kibi),-0.454344213,6.178557873
1889,"ABOR SENIOR HIGH SCHOOL, ABOR",70503,Keta,0.853055775,5.907464027
1890,"SALVATION ARMY SENIOR HIGH SCH., AKIM WENCHI",21104,Kwaebibirem (Kade),-0.799037278,6.133318901
1891,"ATTAFUAH SENIOR HIGH/TECHNICAL SCHOOL, ODA",20606,Birim South (Akim Oda),-0.969164491,5.864167213
1892,"AGOTIME SENIOR HIGH. SCHOOL, KPETOE",70113,Ho Municipal,0.52614224,6.717607021
1893,"KWAHU RIDGE SENIOR HIGH/TECHNICAL SCH, OBO-KWAHU",21005,Kwahu South (Mpraeso),-0.635528684,6.619226456
1894,"LEKLEBI SENIOR HIGH SCHOOL, LEKLEBI",71004,Hohoe,0.466238558,7.030594826
1895,"MANGOASE SENIOR HIGH SCHOOL, MANGOASE",20409,Akwapim North (Akropong),-0.166071147,5.976426125
1896,OSEI TUTU II COLLEGE,50604,Afigya Sekyere (Agona),-1.548614264,7.00199604
1897,"TSITO SENIOR HIGH. TECH. SCHOOL, TSITO",70110,Ho Municipal,0.52614224,6.717607021
1898,"ATEBUBU SENIOR HIGH SCHOOL, ATEBUBU",60402,Atebubu,-1.065201521,7.675590515
1899,"NAKPANDURI BUSINESS SENIOR HIGH. SCH., NAKPANDURI",80503,East Mamprusi (Gambaga),-0.414157361,10.47127342
1900,"PRESBY SENIOR HIGH/TECHNICAL SCH, LARTEH-KUBEASE",20405,Akwapim North (Akropong),-0.166071147,5.976426125
1901,"ADAKLU SENIOR HIGH. SCHOOL, ADAKLU",70108,Ho Municipal,0.52614224,6.717607021
1902,"KADJEBI-ASATO SENIOR HIGH. SCHOOL, KADJEBI-ASATO",71201,Kadjebi,0.496497512,7.721589088
1903,"O.L.L SENIOR HIGH/TECHNICAL SCH, NAVRONGO",90502,Kassena/Nankani (Navrongo),-1.217440963,10.90942287
1904,"MAMPONG PRESBY SENIOR HIGH. SCHOOL, MAMPONG-AKWAPIM",20408,Akwapim North (Akropong),-0.166071147,5.976426125
1905,"DAGBON STATE SENIOR HIGH/TECHNICAL SCHOOL, YENDI",80802,East Dagomba (Yendi),-0.200845063,9.35213089
1906,"METHODIST SENIOR HIGH./TECH. SCHOOL, BIADAN",60304,Wenchi,-1.944841981,7.677614689
1907,"PEKI SENIOR HIGH./TECH. SCHOOL, PEKI",70607,Kpando,0.267385125,6.89685154
1908,TEMA TECH. INST.,9010201,Tema,-0.050088216,5.69031477
1909,"CHRIST THE KING CATHOLIC SCH., OBUASI",51204,Adansi West (Obuasi),-1.65927422,5.986411572
1910,"NKROFUL AGRIC. SENIOR HIGH. SCHOOL, NKROFUL",40302,Nzema East (Axim),-2.311802149,5.141225815
1911,"MANKRANSO SENIOR HIGH. SCHOOL, MANKRANSO",51501,Ahafo Ano South (Mankranso),-1.98917222,6.928771496
1912,"ACHIASE SENIOR HIGH SCHOOL, ACHIASE",20604,Birim South (Akim Oda),-0.969164491,5.864167213
1913,"AKUSE METHODIST SENIOR HIGH./TECH., AKUSE",21504,Manya Krobo (Odumase-Krobo),-0.127511591,6.414916515
1914,"KPANDO TECH. INST., KPANDO",9070601,Kpando,0.267385125,6.89685154
1915,"DABOASE SENIOR HIGH./TECH SCHOOL, DABOASE",41101,Mpohor-Wassa East (Daboase),-1.69756937,5.330795765
1916,"S.D.A. SENIOR HIGH SCHOOL, AKIM SEKYERE",21601,Atiwa (Kwabeng),-0.675171912,6.32678175
1917,"KOFORIDUA SENIOR HIGH. SCH., ADA-KOFORIDUA",20105,New Juaben (Koforidua),-0.297512323,6.112612724
1918,"KPEDZE SENIOR HIGH SCHOOL, KPEDZE",70105,Ho Municipal,0.52614224,6.717607021
1919,"FUMBISI SENIOR HIGH SCH, FUMBISI",90302,Builsa (Sandema),-1.337494493,10.55707264
1920,"AYIREBI SENIOR HIGH SCHOOL, AYIREBI",20703,Birim North ( New Abirem),-1.021674633,6.22278738
1921,"BUNKPURUGU SENIOR HIGH/TECHNICAL SCHOOL, BUNKPURUGU",80502,East Mamprusi (Gambaga),-0.414157361,10.47127342
1922,"ASSIN NORTH SENIOR HIGH./TECH SCHOOL, ASSIN ASEMPANEYE",31204,Assin North (Assin Fosu),-1.374616981,5.77799511
1923,"ADA TECH. INSTITUTE, ADA",9010301,Ga West (Amasaman),-0.397510529,5.664687634
1924,"KIKAM TECH. INST., KIKAM",9040301,Nzema East (Axim),-2.311802149,5.141225815
1925,"BEPONG SENIOR HIGH/COMM., BEPONG",21009,Kwahu South (Mpraeso),-0.635528684,6.619226456
1926,"ANLO TECH. INST., ANLOGA",9070501,Keta,0.853055775,5.907464027
1927,"PEKI SENIOR HIGH SCHOOL, PEKI",70603,Kpando,0.267385125,6.89685154
1928,"PEKI SENIOR HIGH./TECH. SCHOOL, PEKI",70607,Kpando,0.267385125,6.89685154
1929,"HALF ASSINI SENIOR HIGH SCHOOL, HALF ASSINI",40401,Jomoro (Half Assini),-2.803220272,5.069507599
1930,"ANNOR ADJAYE SENIOR HIGH. SCHOOL, EZILIBO",40402,Jomoro (Half Assini),-2.803220272,5.069507599
1931,BAREKESE SENIOR HIGH SCHOOL,50206,Atwima / Nwabiagya (Nkawie),-1.808757067,6.681337357
1932,"AKROSO SENIOR HIGH SCHOOL, AKROSO",20607,Birim South (Akim Oda),-0.969164491,5.864167213
1933,"ASSIN NORTH SENIOR HIGH./TECH SCHOOL, ASSIN ASEMPANEYE",31204,Assin North (Assin Fosu),-1.374616981,5.77799511
1934,"CAPE COAST TECH. INST., CAPE COAST",9030101,Cape Coast Municipal,-1.306593895,5.153656006
1935,"KPASSA SENIOR HIGH./TECH. SCHOOL, KPASSA",70303,Nkwanta,0.402096868,8.323553085
1936,"EGUAFO-ABREM SENIOR SENIOR HIGH. SCH., AGONA ABIREM",30202,Edina/Komenda/Eguafo,-1.437419772,5.140793324
1937,"DABOASE SENIOR HIGH./TECH SCHOOL, DABOASE",41101,Mpohor-Wassa East (Daboase),-1.69756937,5.330795765
1938,"KOMENDA SENIOR HIGH./TECH. SCHOOL, KOMENDA",30203,Edina/Komenda/Eguafo,-1.437419772,5.140793324
1939,"PRESBY SENIOR HIGH SCHOOL, TAMALE",80110,Tamale,-0.784348249,9.383351326
1940,"ANFOEGA SENIOR HIGH SCHOOL, ANFOEGA",70604,Kpando,0.267385125,6.89685154
1941,"OGUAA SENIOR HIGH/TECHNICAL SCHOOL, CAPE COAST",30108,Cape Coast Municipal,-1.306593895,5.153656006
1942,"HUNI-VALLEY SENIOR HIGH. SCHOOL, HUNI-VALLEY",40901,Wassa West (Tarkwa),-1.988853216,5.276049137
1943,"EKUMFI T.I. AHMADIYYA SENIOR HIGH. SCH, ESAKYIR",30302,Mfantsiman (Saltpond),-1.006453395,5.201528072
1944,"ST.STEPHEN'S PRESBY SENIOR HIGH./TECH SCH, ASIAKWA",21304,East Akim (Kibi),-0.454344213,6.178557873
1945,"AKWATIA TECH. INST., AKWATIA",9021101,Kwaebibirem (Kade),-0.799037278,6.133318901
1946,"ASESEWA SENIOR HIGH SCH., ASESEWA",21503,Manya Krobo (Odumase-Krobo),-0.127511591,6.414916515
1947,"OKADJAKROM SENIOR HIGH./TECH SCHOOL, OKADJAKROM",71104,Akatsi,0.842700481,6.206889153
1948,"KPEDZE SENIOR HIGH SCHOOL, KPEDZE",70105,Ho Municipal,0.52614224,6.717607021
1949,"KPEDZE SENIOR HIGH SCHOOL, KPEDZE",70105,Ho Municipal,0.52614224,6.717607021
1950,"ZEBILLA SENIOR HIGH/TECHNICAL SCH, ZEBILLA",90201,Bawku West (Zebilla),-0.478857458,10.81852722
1951,"AKATSI SENIOR HIGH./TECH. SCHOOL, AKATSI",70401,Akatsi,0.842700481,6.206889153
1952,"DAGBON STATE SENIOR HIGH/TECHNICAL SCHOOL, YENDI",80802,East Dagomba (Yendi),-0.200845063,9.35213089
1953,"BUOYEM SENIOR HIGH SCHOOL, BUOYEM",60704,Techiman,-1.944841981,7.677614689
1954,"TEMPANE SNR SENIOR HIGH. SCH, TEMPANE",90103,Bawku East (Bawku),-0.18813774,11.03635216
1955,"DAFFIAMAH SENIOR HIGH SCHOOL, DAFFIAMAH",100502,Nadowli,-2.427624464,10.36250973
1956,"ENYAN DENKYIRA SENIOR HIGH./TECH SCH., DENKYIRA",30703,Ajumako/Enyan/Essiam (Ajumako),-1.005384564,5.401724815
1957,"BONZO-KAKU SENIOR HIGH. SCHOOL, AWIEBO",40304,Nzema East (Axim),-2.311802149,5.141225815
1958,"ESIAMA SENIOR HIGH./TECH. SCHOOL, ESIAMA",40303,Nzema East (Axim),-2.311802149,5.141225815
1959,"OSUDOKU SENIOR HIGH/TECHNICAL SCH., ASUTSUARE",10402,Dangme West (Dodowa),0.512386501,5.786250591
1960,"NAMONG SENIOR HIGH SCHOOL, NAMONG",50803,Offinso,-1.890868545,7.34876442
1961,"AGOTIME SENIOR HIGH. SCHOOL, KPETOE",70113,Ho Municipal,0.52614224,6.717607021
1962,"DORFOR SENIOR HIGH. SCHOOL, JUAPONG",70805,North Tongu (Adidome),0.407175899,6.13318634
1963,"DZOLO SENIOR HIGH SCHOOL, DZOLO",70109,Ho Municipal,0.52614224,6.717607021
1964,"KRABOA COALTAR PRESBY SENIOR HIGH/TECHNICAL, KRABOA COALTAR",20203,Suhum/Kraboa/Coaltar,-0.474989742,5.944515228
1965,"MPASATIA SENIOR HIGH./TECH. SCHOOL, MPASATIA",50205,Atwima / Nwabiagya (Nkawie),-1.808757067,6.681337357
1966,"ANUM PRESBY SENIOR HIGH SCHOOL, ANUM",20801,Asuogyaman (Senchi Ferry),0.08832825,6.189229488
1967,"DABOKPA TECH. INSTITUTE, TAMALE",9080103,Tamale,-0.784348249,9.383351326
1968,"ST. THOMAS SENIOR HIGH./TECH SCHOOL, ASAMANKESE",20502,West Akim (Asamankese),-0.609122574,5.833612442
1969,"PRESBY SENIOR HIGH SCHOOL, TAMALE",80110,Tamale,-0.784348249,9.383351326
1970,"ST. FIDELIS SENIOR HIGH/TECHNICAL SCHOOL, TEASE",20902,Kwahu North (Donkorkrom),-0.264697343,6.911973476
1971,"E. P. AGRIC SENIOR HIGH./TECH. SCHOOL, TATALE",81102,Zabzugu Tatale (Zabzugu),0.371232808,9.139717102
1972,"SACRED HEART TECH. INSTITUTE, ACCRA  ",9010102,Accra Metropolitan,-0.197115257,5.607395649
1973,"WULENSI SENIOR HIGH SCHOOL, WULENSI",80402,Nanumba North (Bimbilla),-0.141764164,8.816774368
1974,"KUMBUNGU SENIOR HIGH. SCH, KUMBUNGU",81202,Savelugu/Nanton (Savelugu),-0.815288663,9.811800957
1975,"MANHEAN SENIOR HIGH. TECH. SCH., TEMA NEW TOWN",10204,Tema,-0.050088216,5.69031477
1976,"ST. KIZITO SENIOR HIGH./TECH SCHOOL, MEPE",70804,North Tongu (Adidome),0.407175899,6.13318634
